N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
100,현대차2우B,"88,200",700,-0.79%,"5,000","32,180","36,485",62.70,"205,076",4.47,N/A,
101,현대미포조선,"79,800",100,-0.13%,"5,000","31,874","39,942",10.79,"292,072",-20.73,-0.84,
102,호텔신라,"80,500",500,+0.63%,"5,000","31,595","39,248",14.69,"260,098",-30.90,-36.74,
103,한미사이언스,"45,450",200,+0.44%,500,"31,189","68,624",2.70,"86,567",57.60,3.47,
104,DB하이텍,"69,400",600,-0.86%,"5,000","30,813","44,399",23.49,"603,136",14.50,23.07,
105,롯데지주,"29,050",150,+0.52%,200,"30,476","104,909",7.79,"65,104",15.14,-3.03,
106,한화시스템,"15,700",750,+5.02%,"5,000","29,660","188,919",2.14,"1,376,978",19.03,9.35,
107,현대오토에버,"107,500",500,-0.46%,500,"29,481","27,424",2.05,"98,292",39.02,11.09,
108,KCC,"331,500",0,0.00%,"5,000","29,459","8,886",10.88,"58,065",4.18,12.79,
109,BGF리테일,"169,500","4,500",+2.73%,"1,000","29,296","17,284",31.88,"48,664",21.21,18.60,
110,대우조선해양,"26,500",700,+2.71%,"5,000","28,432","107,291",4.60,"948,172",-1.92,2.27,
111,CJ대한통운,"124,000",500,+0.40%,"5,000","28,287","22,812",20.79,"36,950",96.05,3.89,
112,GS리테일,"26,550",200,+0.76%,"1,000","27,803","104,718",7.92,"172,983",2.68,7.50,
113,동서,"27,450",500,+1.86%,500,"27,368","99,700",2.84,"63,603",25.77,8.61,
114,키움증권,"101,500","1,600",+1.60%,"5,000","26,613","26,220",25.54,"59,206",2.92,27.63,
115,에스원,"69,800",800,+1.16%,500,"26,523","37,999",53.11,"55,902",17.45,10.48,
116,한화에어로스페이스,"52,000","3,100",+6.34%,"5,000","26,328","50,630",17.62,"2,045,721",9.44,4.78,
117,대우건설,"6,270",140,+2.28%,"5,000","26,060","415,623",10.72,"3,462,192",5.33,11.06,
118,제일기획,"22,500",150,-0.66%,200,"25,884","115,041",31.43,"200,320",13.26,16.11,
119,현대해상,"28,800",300,+1.05%,500,"25,747","89,400",27.46,"379,681",6.73,7.13,
120,신세계,"261,500","5,000",+1.95%,"5,000","25,745","9,845",25.29,"54,097",9.83,-2.81,
121,BNK금융지주,"7,880",100,+1.29%,"5,000","25,684","325,935",40.32,"761,558",3.15,6.11,
122,한화생명,"2,955",5,+0.17%,"5,000","25,665","868,530",7.78,"1,732,271",3.35,1.90,
123,포스코인터내셔널,"20,650",500,+2.48%,"5,000","25,477","123,375",6.64,"717,292",8.35,7.69,
124,두산퓨얼셀,"38,800","2,300",+6.30%,100,"25,412","65,494",13.91,"971,395",776.00,4.18,
125,씨에스윈드,"59,600",300,-0.50%,500,"25,134","42,171",11.26,"482,195",54.08,8.19,
126,OCI,"105,000",500,+0.48%,"5,000","25,042","23,849",14.70,"350,826",12.52,-9.89,
127,하이트진로,"35,600",0,0.00%,"5,000","24,968","70,134",6.00,"295,904",48.50,8.23,
128,DL이앤씨,"128,500","5,000",+4.05%,"5,000","24,876","19,359",22.58,"268,584",N/A,N/A,
129,CJ,"84,100","2,100",+2.56%,"5,000","24,538","29,177",17.61,"59,365",72.88,1.89,
130,한솔케미칼,"214,500","2,500",-1.15%,"5,000","24,314","11,335",41.85,"34,089",16.73,24.50,
131,롯데쇼핑,"85,300","1,100",+1.31%,"5,000","24,130","28,289",11.11,"64,366",-9.07,-7.70,
132,한화,"30,350",850,+2.88%,"5,000","22,750","74,959",15.84,"421,910",5.13,4.79,
133,SK케미칼,"125,000","3,000",+2.46%,"5,000","22,026","17,621",18.08,"62,115",59.58,30.49,
134,현대로템,"19,800",400,+2.06%,"5,000","21,610","109,142",3.11,"975,388",68.99,2.84,
135,휠라홀딩스,"35,200",700,+2.03%,"1,000","21,385","60,752",43.10,"846,904",9.09,10.94,
136,현대차우,"87,500","1,200",-1.35%,"5,000","21,312","24,357",58.35,"68,871",4.43,N/A,
137,만도,"45,350",850,-1.84%,"1,000","21,295","46,957",19.75,"326,638",9.55,0.37,
138,녹십자,"182,000","12,000",-6.19%,"5,000","21,269","11,687",22.94,"160,444",24.66,7.48,
139,효성티앤씨,"482,000","2,500",-0.52%,"5,000","20,859","4,328",13.18,"36,838",2.95,25.10,
140,LG화학우,"270,500","3,500",-1.28%,"5,000","20,798","7,689",72.01,"11,951",7.05,N/A,
141,효성첨단소재,"464,000","4,500",+0.98%,"5,000","20,787","4,480",9.01,"31,473",9.68,0.03,
142,TIGER 200,"36,615",260,+0.72%,0,"20,742","56,650",2.66,"724,390",N/A,N/A,
143,KODEX 200선물인버스2X,"2,520",35,-1.37%,0,"20,528","814,600",6.03,"206,213,155",N/A,N/A,
144,롯데정밀화학,"79,300",100,+0.13%,"5,000","20,459","25,800",20.55,"94,098",4.80,12.65,
145,KODEX 레버리지,"19,935",280,+1.42%,0,"19,815","99,400",3.49,"19,570,004",N/A,N/A,
146,TIGER 미국나스닥100,"74,625",70,+0.09%,0,"19,701","26,400",0.02,"366,701",N/A,N/A,
147,후성,"21,100",550,+2.68%,500,"19,540","92,607",7.44,"1,537,712",71.04,2.79,
148,솔루스첨단소재,"63,000",100,+0.16%,100,"19,272","30,590",6.32,"242,720",-248.03,-5.10,
149,대웅제약,"166,000","1,500",-0.90%,"2,500","19,234","11,587",7.00,"45,731",166.67,2.38,
150,영원무역,"42,500","1,000",+2.41%,500,"18,832","44,311",28.43,"145,070",8.17,8.03,
151,두산,"113,500","8,500",+8.10%,"5,000","18,755","16,524",10.60,"317,516",-65.38,-34.34,
152,농심,"307,000","5,500",-1.76%,"5,000","18,674","6,083",12.60,"35,405",17.49,7.50,
153,신풍제약,"34,700","5,650",+19.45%,500,"18,386","52,985",10.10,"15,747,281","5,783.33",1.72,
154,현대백화점,"77,800","1,200",+1.57%,"5,000","18,207","23,402",18.11,"65,788",11.77,1.65,
155,효성,"85,000",500,-0.58%,"5,000","17,910","21,071",7.86,"45,041",4.63,-2.26,
156,KODEX MSCI Korea TR,"11,745",95,+0.82%,0,"17,559","149,500",3.80,"578,270",N/A,N/A,
157,대웅,"30,150",550,+1.86%,500,"17,530","58,142",4.32,"72,041",16.60,15.10,
158,한샘,"73,000",100,-0.14%,"1,000","17,180","23,534",16.35,"38,982",21.48,10.83,
159,한전KPS,"37,000","1,300",+3.64%,200,"16,650","45,000",7.04,"1,237,665",13.78,8.23,
160,현대위아,"61,000","1,400",-2.24%,"5,000","16,589","27,195",7.17,"441,280",45.45,1.96,
161,한미반도체,"33,400",50,+0.15%,200,"16,520","49,460",5.72,"175,297",19.86,21.03,
162,아이에스동서,"52,900",400,-0.75%,500,"16,342","30,893",4.04,"82,058",30.30,10.92,
163,JB금융지주,"8,220",80,+0.98%,"5,000","16,192","196,983",41.99,"137,510",3.39,10.06,
164,코오롱인더,"58,600","3,100",-5.02%,"5,000","16,126","27,519",20.19,"623,685",9.10,9.70,
165,DGB금융지주,"9,480",290,+3.16%,"5,000","16,035","169,146",50.09,"340,351",3.39,6.93,
166,오뚜기,"433,000","4,500",-1.03%,"5,000","15,900","3,672",11.60,"2,883",14.37,7.93,
167,동국제강,"16,500",800,+5.10%,"5,000","15,746","95,433",22.61,"958,860",3.49,3.35,
168,KODEX 단기채권,"103,260",5,0.00%,0,"15,693","15,198",0.00,"178,435",N/A,N/A,
169,LS,"48,700",900,+1.88%,"5,000","15,681","32,200",13.55,"82,354",6.12,3.94,
170,동원시스템즈,"53,000",200,-0.38%,"5,000","15,470","29,188",13.10,"63,839",24.00,10.97,
171,현대엘리베이,"37,750",700,+1.89%,"5,000","15,408","40,815",29.96,"101,199",24.32,9.78,
172,KODEX 삼성그룹,"8,940",55,+0.62%,0,"15,287","171,000",0.09,"493,184",N/A,N/A,
173,롯데칠성,"164,500","2,500",+1.54%,500,"15,264","9,279",9.57,"21,869",19.44,-1.00,
174,LIG넥스원,"68,100","4,100",+6.41%,"5,000","14,982","22,000",5.82,"892,871",15.87,8.86,
175,케이카,"30,850",450,+1.48%,500,"14,835","48,087",17.79,"105,762",51.25,15.11,
176,일진하이솔루스,"40,850",150,+0.37%,500,"14,834","36,313",1.51,"139,917",76.21,34.27,
177,더존비즈온,"48,300",200,-0.41%,500,"14,675","30,383",37.40,"1,667,007",23.64,15.09,
178,일동제약,"58,600",100,+0.17%,"1,000","14,535","24,803",4.37,"7,479,413",-56.02,-5.13,
179,아시아나항공,"19,150",150,+0.79%,"5,000","14,250","74,412",7.49,"464,869",-3.29,-43.83,
180,KODEX 종합채권(AA-이상)액티브,"106,350",75,-0.07%,0,"14,162","13,316",0.01,"13,113",N/A,N/A,
181,롯데렌탈,"38,000",200,-0.52%,"5,000","13,921","36,634",1.79,"94,549",13.18,6.73,
182,TIGER MSCI Korea TR,"14,790",160,+1.09%,0,"13,903","94,000",6.81,"1,485",N/A,N/A,
183,티와이홀딩스,"27,250",800,+3.02%,500,"13,878","50,929",5.38,"71,639",2.34,N/A,
184,TIGER 단기통안채,"100,650",5,0.00%,0,"13,872","13,782",0.86,"1,253,484",N/A,N/A,
185,대한전선,"1,600",105,+7.02%,100,"13,704","856,473",1.81,"27,294,098",44.44,0.92,
186,ESR켄달스퀘어리츠,"6,310",110,+1.77%,"1,000","13,446","213,089",31.70,"362,963",48.91,1.34,
187,TIGER 미국S&P500,"12,990",90,+0.70%,0,"13,419","103,300",0.14,"2,211,098",N/A,N/A,
188,현대두산인프라코어,"6,760",160,+2.42%,"1,000","13,347","197,436",9.92,"3,126,608",5.78,6.47,
189,NHN,"35,500",0,0.00%,500,"13,319","37,518",19.25,"69,837",40.99,1.35,
190,롯데리츠,"5,460",40,-0.73%,500,"13,266","242,969",9.55,"229,766",34.12,1.68,
191,LS ELECTRIC,"42,950",300,+0.70%,"5,000","12,885","30,000",17.55,"178,921",15.90,6.15,
192,PI첨단소재,"43,350",350,+0.81%,500,"12,730","29,366",12.23,"96,394",21.76,15.62,
193,한국앤컴퍼니,"13,400",150,+1.13%,500,"12,721","94,935",9.67,"43,845",5.14,5.08,
194,DL,"60,400","1,000",+1.68%,"5,000","12,657","20,956",12.24,"41,612",1.92,11.84,
195,한일시멘트,"18,100",400,+2.26%,500,"12,536","69,262",2.61,"248,426",11.92,N/A,
196,명신산업,"23,550",0,0.00%,500,"12,357","52,470",2.89,"172,560",-10.21,-67.39,
197,롯데관광개발,"17,750",100,-0.56%,500,"12,296","69,276",5.42,"368,965",-6.21,-30.43,
198,대덕전자,"24,850",200,-0.80%,500,"12,280","49,417",12.93,"1,639,650",39.63,N/A,
199,TIGER 미국테크TOP10 INDXX,"11,155",0,0.00%,0,"12,276","110,050",0.71,"1,076,345",N/A,N/A,
200,영풍,"656,000","4,000",+0.61%,"5,000","12,084","1,842",4.10,598,10.19,4.03,
